"filename", "language", "Python", "JSON", "pip requirements", "Batch", "Markdown", "comment", "blank", "total"
"d:\git-repos\hkjc-quant-model\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"d:\git-repos\hkjc-quant-model\config\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"d:\git-repos\hkjc-quant-model\config\settings.py", "Python", 58, 0, 0, 0, 0, 0, 18, 76
"d:\git-repos\hkjc-quant-model\data\data_cleaning_flatten.py", "Python", 159, 0, 0, 0, 0, 5, 18, 182
"d:\git-repos\hkjc-quant-model\data\data_cleaning_normalized.py", "Python", 296, 0, 0, 0, 0, 39, 52, 387
"d:\git-repos\hkjc-quant-model\data\data_cleaning_normalized_horses.py", "Python", 102, 0, 0, 0, 0, 2, 13, 117
"d:\git-repos\hkjc-quant-model\data\data_cleaning_normalized_races.py", "Python", 67, 0, 0, 0, 0, 5, 15, 87
"d:\git-repos\hkjc-quant-model\data\horses_rating.json", "JSON", 0, 5902, 0, 0, 0, 0, 0, 5902
"d:\git-repos\hkjc-quant-model\data\today_rc.json", "JSON", 0, 30, 0, 0, 0, 0, 0, 30
"d:\git-repos\hkjc-quant-model\data_process.bat", "Batch", 0, 0, 0, 19, 0, 0, 4, 23
"d:\git-repos\hkjc-quant-model\database\db_manager.py", "Python", 85, 0, 0, 0, 0, 7, 20, 112
"d:\git-repos\hkjc-quant-model\features\feature_pipeline.new.py", "Python", 398, 0, 0, 0, 0, 21, 64, 483
"d:\git-repos\hkjc-quant-model\features\feature_pipeline.py", "Python", 181, 0, 0, 0, 0, 45, 54, 280
"d:\git-repos\hkjc-quant-model\features\features.md", "Markdown", 0, 0, 0, 0, 54, 0, 20, 74
"d:\git-repos\hkjc-quant-model\main.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"d:\git-repos\hkjc-quant-model\models\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"d:\git-repos\hkjc-quant-model\models\features_config.json", "JSON", 0, 14, 0, 0, 0, 0, 0, 14
"d:\git-repos\hkjc-quant-model\models\inference.py", "Python", 94, 0, 0, 0, 0, 20, 25, 139
"d:\git-repos\hkjc-quant-model\models\latest_features.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 1
"d:\git-repos\hkjc-quant-model\models\quick_learning_placing.py", "Python", 182, 0, 0, 0, 0, 51, 46, 279
"d:\git-repos\hkjc-quant-model\models\quick_learning_win.py", "Python", 164, 0, 0, 0, 0, 46, 41, 251
"d:\git-repos\hkjc-quant-model\models\race_card_loader.py", "Python", 82, 0, 0, 0, 0, 1, 11, 94
"d:\git-repos\hkjc-quant-model\models\xgbclassifier_best.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"d:\git-repos\hkjc-quant-model\models\xgbranker_best.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"d:\git-repos\hkjc-quant-model\requirements.txt", "pip requirements", 0, 0, 113, 0, 0, 0, 0, 113
"d:\git-repos\hkjc-quant-model\scraper\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"d:\git-repos\hkjc-quant-model\scraper\data_manager.py", "Python", 24, 0, 0, 0, 0, 4, 6, 34
"d:\git-repos\hkjc-quant-model\scraper\hook.py", "Python", 72, 0, 0, 0, 0, 18, 17, 107
"d:\git-repos\hkjc-quant-model\scraper\main.py", "Python", 39, 0, 0, 0, 0, 13, 16, 68
"d:\git-repos\hkjc-quant-model\scraper\parser\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"d:\git-repos\hkjc-quant-model\scraper\parser\calander_parser.py", "Python", 37, 0, 0, 0, 0, 14, 18, 69
"d:\git-repos\hkjc-quant-model\scraper\parser\rating_parser.py", "Python", 42, 0, 0, 0, 0, 0, 12, 54
"d:\git-repos\hkjc-quant-model\scraper\parser\result_parser.py", "Python", 157, 0, 0, 0, 0, 2, 29, 188
"d:\git-repos\hkjc-quant-model\scraper\parser\sectional_parser.py", "Python", 40, 0, 0, 0, 0, 0, 3, 43
"d:\git-repos\hkjc-quant-model\scraper\race_pipeline.py", "Python", 134, 0, 0, 0, 0, 9, 36, 179
"d:\git-repos\hkjc-quant-model\train.py", "Python", 175, 0, 0, 0, 0, 36, 55, 266
"Total", "-", 2588, 5948, 113, 19, 54, 338, 600, 9660
